Region 1,,,,,
S.No,Region,District,Center,Code No.,Sub Center
1,1,Bhojpur,Bhojpur,A-02-07-001,
2,1,Dhankuta,Dhankuta,A-02-08-001,
3,1,Dhankuta,lawarbote,A-02-08-002,
4,1,Jhapa,Duwagadi,A-01-01-001,
5,1,Jhapa,Jalthal,A-01-01-002,
6,1,Jhapa,Damak,A-01-01-003,
7,1,Jhapa,Shivjung,A-01-01-004,
8,1,Jhapa,Ramnagar,A-01-01-005,
9,1,Jhapa,Gaurigunj,A-01-01-006,
10,1,Morang,Biratnagar,A-02-10-001,
11,1,Morang,Kadmaha,A-02-01-002,
12,1,Morang,Mangalbare,A-02-10-003,
13,1,Morang,Khuniyakhatta,A-02-10-004,
14,1,Morang,Kanchanbaari,A-02-10-005,
15,1,Morang,Bargachhi,A-02-10-006,
16,1,Morang,Harinagara,A-02-10-007,
17,1,Morang,Koshiproject,A-02-10-008,
18,1,Morang,Pathari,A-02-10-009,
19,1,Okhaldhunga,Chyanam,A-03-13-001,
20,1,Okhaldhunga,Jalkeni,A-03-13-002,
21,1,Okhaldhunga,Okhaldhunga,A-03-13-003,
22,1,Okhaldhunga,Rumjatar,A-03-13-004,
23,1,Saptari,Chakla,A-03-16-001,
24,1,Saptari,Jogniya,A-03-16-002,
25,1,Saptari,Dhangadi,A-03-16-003,
26,1,Saptari,Rajbiraj,A-03-16-004,
27,1,Saptari,Bodhebarsaini,A-03-16-005,
28,1,Saptari,kalyanpur,A-03-16-006,
29,1,Siraha,Lahan,A-03-15-002,
30,1,Siraha,Thatiya kuspaha,A-03-15-003,
31,1,Siraha,Mirchiya,A-03-15-005,
32,1,Siraha,Sukhipur,A-03-15-006,
33,1,Siraha,Siraha,A-03-15-007,
34,1,Siraha,Baluwa,A-03-15-008,
35,1,Siraha,Purano Corbaha,A-03-15-009,
36,1,Siraha,Ayodhanagar (Kashaha),A-03-15-010,
37,1,Siraha,Sony,A-03-15-011,
38,1,Siraha,Chandrapatti,A-03-15-012,
39,1,Siraha,Mohanpur,A-03-15-013,
40,1,Siraha,Golbazar,A-03-15-014,
41,1,Sunsari,Dharan,A-02-09-002,
42,1,Sunsari,Inaruwa,A-02-09-003,
43,1,Sunsari,Bokraha,A-02-09-004,
44,1,Sunsari,Khanar,A-02-09-005,
45,1,Sunsari,Purbha Kusaha,A-02-09-006,
46,1,Sunsari,Jhumka,A-02-09-013,
47,1,Sunsari,Belgachiya,A-02-09-014,
48,1,Taplegunj,A-01-20-001,46,
49,1,Taplegunj,Nageshwori,A-01-20-002,
50,1,Udaypur,Bhagalpur (Belaha),A-03-14-001,
51,1,Udaypur,Gaighat,A-03-14-002,
52,1,Udaypur,Khanbu,A-03-14-003,
53,1,Udaypur,Hadiya,A-03-14-004,
54,1,Udaypur,Rampur,A-03-14-005,
55,1,Udaypur,Katari,A-03-14-006,
56,1,Udaypur,Murkuchi,A-03-14-007,
57,1,Udaypur,Jaljale,A-03-14-008,
58,1,Udaypur,Bagchauri,A-03-14-009,
59,1,Udaypur,Bhitte,A-03-14-010,
60,1,Udaypur,Nepaltar,A-03-14-011,
61,1,Udaypur,Beltar,A-03-14-012,
62,1,Udaypur,Setikhola,A-03-14-013, 
63,1,Udaypur,Jhora,A-03-14-014,
